Adra
Afin
Agatha
Alboran
Amanda
Andorra
Ascari
Atlantic
Atlas
Aurora
Avia
Babieca
Bain SFS
Baracoa
Bee
Beetle
Berry
Bolt
Brumy
Castle
Cecilion
Centauros
CGD Legal Servicing
CGD REO
Chelsea
Chicago
Clover
Cyclone
Dakar
Douro
Draco
Drake
EdMad
Elliott - Centerbridge
Embo
Eris
Eurobank REO
Evora
Explorer
Fenix
Fleta
Gaia
Galaxy
Geres
Giants
Golden
Goya
GR Alpha REO servicing
Granada
Grifon
Grimsey
Guincho
Hades
Hurricane
Intrum
Jarama
Jupiter
K1
Kaplan
Kingfisher
Lemon
Leon
Libra
Lisbon Casafari
Lor
Louvre
Madarcos
Marinera
Match
McLaren
Mero
Moey
MoMA
Montepio Legal
Monza - GoldenTree
Nata
Nata 2
NBG REO
Newton
Ocean
Olive
Orion
Orion CPPIB
Pacific
Pack
Pamela
Pelican
Penedo
Penedo 2
Pera
Pirene
Pool 50
Pool 54
Rocky
Sagrado
Salduero
San Siro
Sandi
Sareb
Sevilla
Sil
Sodia
STC - Lisboa
Symbol
Thunder
Titan
Toledo
Tramuntana
Triton
Twins
Twix
Valkyrie
Vega
Viriato - ES
Viriato - PT
Wind
XL
Zip
Zip 2
Zip 3
Zip TKO
